Attribute,Description,Required,columnType,DependsOn,Source,Parent,Valid Values
ModelSystemType,Type of model system,False,BOOLEAN,,Sage Bionetworks,ManifestColumn,"animal, cerebral organoid, immortalized cell line, iPSC, organoid, primary cell culture, Not assigned"
isModelSystem,Boolean flag indicating whether or not a file has data from a model system,True,BOOLEAN,,Sage Bionetworks,ManifestColumn,"True, False, Not assigned"
acquisitionBatchID,"Acquisition batch identifier, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
acquisitionBatchSize,The number of samples,False,STRING,,,ManifestColumn,
acquisitionBatchSizeUnit,The unit of measurement for number of samples in a batch,False,STRING,,,ManifestColumn,
acquisitionMode,"The specific aspect of a mass spectrometer method by which mass ranges are selected and possibly dissociated (full scan, MSn, SIM, MRM, etc.). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
acquisitionSoftware,"The name of the acquisition software used. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
analysisType,Type of analysis,False,STRING,,Sage Bionetworks,ManifestColumn,"ANOVA,batch effect correction,clustering,data normalization,de-novo assembly,dose response study,enrichment analysis,genome-wide association,mendelian randomization analysis,network analysis,polygenic risk scores, Not assigned"
batchID,"ID used to identify a batch, provided by the data contributor to Sage Bionetworks. The batch identifier(s) must be stored in a data dictionary .csv file uploaded to Synapse",False,STRING,,,ManifestColumn,
batchLabel,Used to supply batch label information with any string value,False,STRING,,,ManifestColumn,
consortium,The name of the consortium,True,STRING,,Sage Bionetworks,ManifestColumn,"ELITE, ELITE CDCP, Not assigned"
dataFile,"Name of additional file(s) accompanying the data. The file(s) provide, for example, the name of any raw files generated by the instrument, generated reports from a vendor, an Rscript, or an instructions document. The files can be instrument raw files, converted peak lists such as mzML, MGF, or result files like mzIdentML. The files can be additional documentation submitted alongside the data needed for reuse and sharing purposes. Provide the file names of any additional files submitted alongside the data (ex., an ADAT file). Multiple file names can be separated by (;)Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
dataSubtype,"Further qualification of dataType, which may be used to indicate the state of processing of the data, aggregation of the data, or presence of metadata",True,STRING,,Sage Bionetworks,ManifestColumn,"raw,processed,results,normalized,metadata, Not assigned"
dataType,"The category or format of data generated or collected in an experiment, describing the kind of information the dataset contains (for example, genomics, imaging, proteomics, or behavioral data).",True,STRING_LIST,,Sage Bionetworks,ManifestColumn,"clinical,drugScreen,electrophysiology,epigenetics,geneExpression,genomeAssembly,genomicVariants,imaging,lipidomics,metabolomics,metagenomics,Not applicable,Not collected,Not specified,Other,phenotype,proteomics,Unknown,wearableData"
databaseName,"The name of the search database (nr, SwissProt or est_human, and/or mass spectral library). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
databaseSource,"The name of the organization, project, or laboratory from where the database is obtained (UniProt, NCBI, EBI, other).",True,STRING,,,ManifestColumn,
databaseWeblink,"An internet address that may provide details of a database or software search, as well as for labs that generate their own search method (web link). Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
experimentalBatchSizeUnit,The unit of measurement for number of samples in a experimental batch,False,STRING,,,ManifestColumn,
extractionMethod,"The name of the process used to separate a desired component of an input material from the remainder. Provide a value OR provide one of these values - Unknown Not collected, Not applicable, Not specified",True,STRING,,,ManifestColumn,
