,Attribute,Description,Valid Values,DependsOn,DependsOn Component,Required,Parent,Validation Rules,Properties,Source,module,multivalue,columnType,Ontology,Notes,UsedIn
20,biospecimen_human_template,Template for Biospecimen_human,,"Filename,individualID,specimenID,specimenType,measurementTechnique,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
21,biospecimen_non_human_template,Template for Biospecimen_non_Human,,"Filename,individualID,specimenID,specimenType,assay,specimenAge,samplingAge,organ,tissue,tissueVolume,tissueWeight,specimenSource,nucleicAcidSource,cellType,fastingState,isPostMortem,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
22,assay_bsSeq_template,Template for bsSeq,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,libraryBatchID,libraryPrep,libraryPreparationMethod,libraryVersion,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,directionalBSseqLibrary,gDNAconc,lambdaDNAconc,pcrCycles,meanCoverage,conversionRatio,conversionRatioUnits,enrichmentMethod,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
64,genotyping_human_template,Template for Genotyping_Human,,"Filename,specimenID,stage,numberIndividuals,sampleType,useReagent,reagentIDs,reagentName,reagentManufacturer,reagentCatalogNumber,reagentLotNumber,reagentWeblink,reagentContact,useTreatment,treatmentIDs,treatmentName,treatmentAmountValue,treatmentAmountUnit,treatmentDurationValue,treatmentDurationUnit,treatmentTemperatureValue,treatmentTemperatureUnit,measurementTechnique,genotypeTechnology,arrayManufacturer,arrayInformation,imputation,imputationPanel,imputationSoftware,variantCount,statisticalModel,adjustedCovariates,reportedTrait,backgroundTrait,useReadMeFile,readmeFile,useSummaryFile,summaryFile,summaryStatisticsAssembly,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
70,individual_human_template,Template for Individual_Human,,"Filename,individualID,cohort,studyCode,fieldCenterCode,visitCode,countryCode,consentGroupID,speciesGroup,sex,race,ethnicity,ethnicGroupCode,age,diagnosisStatus,diagnosis,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
71,individual_non_human_template,Template for Individual_non_Human,,"Filename,individualID,cohort,studyCode,taxon,speciesGroup,speciesName,commonName,sex,lifeStage,speciesAge,captivityStatus,captivityDuration,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
94,assay_metabolomics_template,Template for Metabolomics,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,instrumentModel,samplePrepProtocol,dataFile,databaseSource,databaseWeblink,databaseName,msTarget,msAssayTechnique,msAnalyteType,sampleIntroduction,extractionMethod,acquisitionMode,acquisitionSoftware,acquistionSoftwareVersion,spectrometerFrequency,hasIonizationSource,ionProperty,vacuumPressure,vacuumPressureUnit,lensVoltages,lensVoltagesUnit,gasFlowTemperature,gasFlowTemperatureUnit,hasAssayControl,controlType,experimentalBatchSize,experimentalBatchSizeUnit,batchSize,batchSizeUnit,batchID,batchLabel,sampleBatchID,sampleBatchSize,sampleBatchSizeUnit,acquisitionBatchID,acquisitionBatchSize,acquisitionBatchSizeUnit,processingBatchID,processingBatchSize,processingBatchSizeUnit,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
95,assay_metagenomics_template,Template for Metagenomics,,"Filename,specimenID,sampleType,experimentType,measurementTechnique,technologyPlatformVersion,platformLocation,instrumentModel,samplePrepProtocol,dataFile,databaseSource,databaseWeblink,databaseName,databaseVersion,databaseLibrary,libraryPrep,libSize,mid,assemblyName,nucleAcidExt,sourceMatID,libReadsSeqd,numberContig,libLayout,assemblyQual,libVector,adapters,assemblySoftware,experimentalFactor,associatedResource,sop,targetGene,seqMethod,seqPlatform,DNAextraction,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
96,assay_microbiome_template,Template for Microbiome,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,extractionMethod,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,dnaBatchID,dnaBatchSize,dnaBatchSizeUnit,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
108,assay_phenotype_human_template,Template for Phenotype_human,,"Filename,individualID,cohort,speciesGroup,sex,race,ethnicity,ethnicGroupCode,age,diagnosisStatus,diagnosis,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
111,assay_proteomics_template,Template for Proteomics,,"Filename,specimenID,sampleType,experimentType,measurementTechnique,technologyPlatformVersion,platformLocation,instrumentModel,samplePrepProtocol,dataFile,databaseSource,databaseWeblink,databaseName,modificationParameters,quantationStrategy,labelQuantitation,labelFreeQuantitation,isobaricLabelingReagent,msTarget,msAssayTechnique,msAnalyteType,digestionMethod,digestionReagent,fractionIdentifier,enrichmentStrategy,enrichment,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
130,assay_RNAseq_template,Template for RNAseq,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,repositoryName,transcriptType,resultUnit,valueReported,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
183,assay_whole_genome_sequencing_template,Template for Whole_Genome_Sequencing,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,repositoryName,transcriptType,resultUnit,valueReported,rnaBatchID,libraryBatchID,sequencingBatchID,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
186,assay_scRNAseq_template,Template for scRNAseq,,"Filename,specimenID,sampleType,measurementTechnique,technologyPlatformVersion,platformLocation,referenceTranscriptID,repositoryName,transcriptType,resultUnit,valueReported,rnaBatchID,rnaBatchSize,rnaBatchSizeUnit,libraryBatchID,sequencingBatchID,sequencingBatchSize,sequencingBatchSizeUnit,libraryPrep,libraryPreparationMethod,libraryVersion,isStranded,readStrandOrigin,readLength,readLengthUnits,runType,totalReads,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks, ,
193,study_folder_template,Annotations for study folders,,"studyKey,studyName,projectShortName,projectFullName,dataTypeAll,species,specimenType,studyAbstract,studyDescription,studyFocus,program,grantNumber,studyWiki,acknowledgment,methods,relatedStudies,studyType,isModelSystem,isFeatured,ackContext,studyMetadata,accessReqs,isReleased,newsRelease,metadataType,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks,,
195,file_annotation_template,Base annotations for files in synapse,,"Filename, individualID, specimenID, isMultiSpecimen, assay, fileFormat, consortium, study, grant, resourceType, dataType, dataSubtype, metadataType, analysisType, isModelSystem, chromosome,Component",,False,Component,,template,Sage Bionetworks,template,,,Sage Bionetworks,,
